,eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_error
112,0.01,5,1,0.988909298,0.243749391,36,0.343569009
133,0.01,7,5,0.988909298,0.243749391,7,0.345310318
118,0.01,3,3,0.988909298,0.243749391,77,0.346019996
121,0.01,5,3,0.988909298,0.243749391,5,0.347050935
127,0.01,3,5,0.988909298,0.243749391,28,0.348150567
109,0.01,3,1,0.988909298,0.243749391,46,0.350405802
145,0.01,3,3,0.397745453,0.243749391,16,0.351694127
148,0.01,5,3,0.397745453,0.243749391,3,0.352274646
136,0.01,3,1,0.397745453,0.243749391,3,0.353828403
3,0.1,3,1,0.988909298,0.115697779,2,0.366988072
46,0.01,3,5,0.397745453,0.115697779,1,0.373692261
10,0.01,3,3,0.988909298,0.115697779,2,0.380071242
35,0.05,7,1,0.397745453,0.115697779,1,0.380597991
25,0.01,7,5,0.988909298,0.115697779,3,0.380659543
37,0.01,3,3,0.397745453,0.115697779,3,0.380919979
49,0.01,5,5,0.397745453,0.115697779,2,0.382143292
4,0.01,5,1,0.988909298,0.115697779,2,0.382853591
50,0.05,5,5,0.397745453,0.115697779,2,0.383308781
28,0.01,3,1,0.397745453,0.115697779,2,0.385818714
19,0.01,3,5,0.988909298,0.115697779,3,0.386020001
2,0.05,3,1,0.988909298,0.115697779,2,0.386595902
34,0.01,7,1,0.397745453,0.115697779,2,0.3872384
7,0.01,7,1,0.988909298,0.115697779,3,0.387818006
40,0.01,5,3,0.397745453,0.115697779,11,0.387818881
43,0.01,7,3,0.397745453,0.115697779,5,0.388465868
31,0.01,5,1,0.397745453,0.115697779,6,0.390081355
78,0.1,5,5,0.988909298,0.069748679,2,0.390792698
1,0.01,3,1,0.988909298,0.115697779,3,0.390916537
73,0.01,3,5,0.988909298,0.069748679,2,0.390923603
13,0.01,5,3,0.988909298,0.115697779,2,0.392405101
75,0.1,3,5,0.988909298,0.069748679,2,0.392532263
16,0.01,7,3,0.988909298,0.115697779,6,0.393560689
22,0.01,5,5,0.988909298,0.115697779,2,0.394465423
93,0.1,3,3,0.397745453,0.069748679,2,0.395883442
105,0.1,5,5,0.397745453,0.069748679,1,0.396009639
60,0.1,5,1,0.988909298,0.069748679,2,0.396462833
52,0.01,7,5,0.397745453,0.115697779,2,0.396987288
94,0.01,5,3,0.397745453,0.069748679,2,0.397946248
59,0.05,5,1,0.988909298,0.069748679,2,0.39839969
70,0.01,7,3,0.988909298,0.069748679,2,0.3988466
77,0.05,5,5,0.988909298,0.069748679,1,0.399437735
95,0.05,5,3,0.397745453,0.069748679,1,0.401110491
55,0.01,3,1,0.988909298,0.069748679,2,0.402271916
88,0.01,7,1,0.397745453,0.069748679,2,0.402788336
104,0.05,5,5,0.397745453,0.069748679,2,0.402844523
86,0.05,5,1,0.397745453,0.069748679,2,0.403626713
64,0.01,3,3,0.988909298,0.069748679,2,0.403814012
80,0.05,7,5,0.988909298,0.069748679,2,0.404333928
62,0.05,7,1,0.988909298,0.069748679,3,0.405563944
61,0.01,7,1,0.988909298,0.069748679,2,0.405820499
106,0.01,7,5,0.397745453,0.069748679,1,0.406396529
91,0.01,3,3,0.397745453,0.069748679,2,0.406649019
58,0.01,5,1,0.988909298,0.069748679,3,0.407303217
83,0.05,3,1,0.397745453,0.069748679,1,0.407359484
107,0.05,7,5,0.397745453,0.069748679,2,0.408780758
97,0.01,7,3,0.397745453,0.069748679,2,0.409361649
74,0.05,3,5,0.988909298,0.069748679,3,0.409882692
68,0.05,5,3,0.988909298,0.069748679,2,0.410331857
103,0.01,5,5,0.397745453,0.069748679,3,0.410853511
82,0.01,3,1,0.397745453,0.069748679,2,0.411556988
67,0.01,5,3,0.988909298,0.069748679,2,0.411624544
71,0.05,7,3,0.988909298,0.069748679,2,0.41246613
101,0.05,3,5,0.397745453,0.069748679,2,0.412538712
100,0.01,3,5,0.397745453,0.069748679,2,0.412651433
92,0.05,3,3,0.397745453,0.069748679,4,0.412981755
89,0.05,7,1,0.397745453,0.069748679,2,0.413040037
98,0.05,7,3,0.397745453,0.069748679,15,0.413302053
76,0.01,5,5,0.988909298,0.069748679,2,0.41394451
85,0.01,5,1,0.397745453,0.069748679,1,0.416397491
79,0.01,7,5,0.988909298,0.069748679,2,0.418718537
